0.00, -0.697778,-0.683822,-0.669867,-0.655911,-0.641956,-0.628,-0.614045,-0.600089,-0.586133,-0.572178,-0.558222,-0.544267,-0.530311,-0.516356,-0.5024,-0.488445,-0.474489,-0.460534,-0.446578,-0.432622,-0.418667,-0.404711,-0.390756,-0.3768,-0.362845,-0.348889,-0.334934,-0.320978,-0.307022,-0.293067,-0.279111,-0.265156,-0.2512,-0.237245,-0.223289,-0.209333,-0.195378,-0.181422,-0.167467,-0.153511,-0.139556,-0.1256,-0.111645,-0.0976891,-0.0837335,-0.069778,-0.0558224,-0.0418669,-0.0279113,-0.0139558,-2.03028e-07,0.0139554,0.0279109,0.0418665,0.055822,0.0697776,0.0837331,0.0976887,0.111644,0.1256,0.139555,0.153511,0.167466,0.181422,0.195378,0.209333,0.223289,0.237244,0.2512,0.265155,0.279111,0.293066,0.307022,0.320978,0.334933,0.348889,0.362844,0.3768,0.390755,0.404711,0.418666,0.432622,0.446578,0.460533,0.474489,0.488444,0.5024,0.516355,0.530311,0.544266,0.558222,0.572178,0.586133,0.600089,0.614044,0.628,0.641955,0.655911,0.669866,0.683822,
-1.26, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.956,144.908,144.856,144.798,144.735,144.664,144.585,144.496,144.396,144.281,144.149,120.039,91.1012,81.8005,77.2123,74.479,72.6649,71.373,70.4063,69.6556,69.0559,68.5658,68.1356,67.9095,67.913,67.916,67.9186,67.9209,67.923,67.9248,67.9265,67.9252,67.923,67.9208,67.9187,67.9166,67.9145,60.5957,54.3834,49.3272,45.1318,37.6546,29.2093,19.6174,8.70565,-0.195805,-0.19943,-0.203017,-11.9903,
-1.2, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.956,144.907,144.853,144.793,144.726,144.651,144.565,144.466,144.353,109.397,88.3036,80.5311,76.4891,74.0117,72.3377,71.1309,70.2196,69.5072,68.9349,68.4651,68.0276,67.9259,67.9284,67.9305,67.9324,67.9341,67.9355,67.9369,67.9381,67.9361,67.9341,67.9321,67.9301,67.9282,66.442,59.0442,53.1296,48.2928,43.4677,35.7573,27.0501,17.1396,5.97228,-0.170965,-0.174324,-3.05598,-14.6451,-24.8826,-33.8515,
-1.14, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.955,144.905,144.849,144.786,144.714,144.631,144.534,102.109,86.016,79.4244,75.8375,73.5822,72.033,70.9033,70.0429,69.3659,68.8192,68.3686,67.9382,67.9401,67.9418,67.9432,67.9445,67.9456,67.9467,67.9476,67.9478,67.9459,67.9441,67.9423,67.9405,67.9387,64.585,57.5722,51.934,47.3022,41.7442,33.8073,24.8271,14.5836,2.97996,-0.148177,-0.15127,-6.04126,-17.2071,-27.1272,-35.8351,-43.5403,-48.471,
-1.08, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.954,144.902,144.843,144.774,144.694,96.8065,84.1111,78.4513,75.2475,73.1861,71.7486,70.6889,69.8754,69.2313,68.7085,68.2759,67.9512,67.9524,67.9534,67.9543,67.955,67.9557,67.9564,67.9569,67.9565,67.9548,67.9531,67.9515,67.9498,67.9482,62.8313,56.1736,50.7924,46.3526,39.9751,31.8027,22.5379,11.9459,-0.124534,-0.127387,-0.130216,-8.7567,-19.6809,-29.2987,-37.7574,-45.2546,-49.5391,-54.5883,-60.7805,
-1.02, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144.952,144.897,127.779,92.7767,82.5007,77.5892,74.7109,72.8199,71.4825,70.4867,69.7164,69.1029,68.6026,68.1869,67.9622,67.9628,67.9633,67.9637,67.9641,67.9645,67.9648,67.9651,67.9641,67.9626,67.9611,67.9597,67.9582,67.9567,61.1723,54.8429,49.7012,45.4415,38.1589,29.7415,20.1795,9.25907,-0.105945,-0.108535,-0.111103,-11.3912,-22.0709,-31.4006,-39.621,-46.271,-50.6541,-55.9522,-62.485,-68.0725,-68.0737,
-0.960002, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,114.207,89.6113,81.1218,76.8202,74.2209,72.4802,71.2331,70.2957,69.5653,68.9803,68.5011,68.1014,67.9715,67.9716,67.9717,67.9718,67.9719,67.972,67.9721,67.9722,67.9709,67.9696,67.9682,67.9669,67.9656,67.1534,59.6003,53.5753,48.6571,43.9727,36.2937,27.6212,17.7491,6.61078,-0.0892196,-0.0915508,-2.27376,-14.0372,-24.3812,-33.436,-41.4286,-47.2366,-51.8191,-57.3839,-64.2846,-68.0619,-68.0631,-68.0642,-68.0653,
-0.900002, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,105.332,87.0596,79.9279,76.1302,73.7716,72.1644,70.9989,70.1149,69.4215,68.8631,68.4037,68.0069,67.9791,67.9789,67.9787,67.9786,67.9785,67.9783,67.9783,67.978,67.9768,67.9756,67.9744,67.9733,67.9721,65.267,58.1088,52.3662,47.6571,42.2772,34.3778,25.4397,15.2436,3.71845,-0.0742832,-0.0763632,-5.2953,-16.5913,-26.6155,-35.4079,-43.1824,-48.2422,-53.0372,-58.8881,-66.187,-68.0524,-68.0534,-68.0544,-68.0554,-68.0564,-68.0574,
-0.840002, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,99.1069,84.9824,78.8969,75.5078,73.3584,71.8701,70.7785,69.9437,69.2846,68.751,68.3102,67.9859,67.9854,67.9849,67.9845,67.9842,67.9839,67.9837,67.9835,67.9829,67.9819,67.9808,67.9798,67.9788,67.9777,63.4854,56.6914,51.2116,46.6982,40.5377,32.4092,23.1942,12.6596,0.546854,-0.0610556,-0.062893,-8.04455,-19.0578,-28.7776,-37.3192,-44.8848,-49.2902,-54.3118,-60.4703,-68.0429,-68.0438,-68.0447,-68.0456,-68.0465,-68.0474,-68.0487,-68.0522,-68.0562,
-0.780002, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,136.112,94.5089,83.2426,77.9967,74.9629,72.9857,71.595,70.5708,69.7812,69.154,68.6437,68.2204,67.991,67.9903,67.9898,67.9892,67.9888,67.9884,67.9881,67.9878,67.9871,67.9862,67.9853,67.9844,67.9835,67.9826,61.7999,55.3427,50.1078,45.7781,38.7525,30.3857,20.8822,9.99331,-0.0478367,-0.0494514,-0.0510564,-10.6383,-21.4414,-30.8707,-39.1727,-46.028,-50.3832,-55.6469,-62.1363,-68.0354,-68.0362,-68.037,-68.0378,-68.0386,-68.0394,-68.0409,-68.044,-68.0474,-68.0513,-68.0556,
-0.720002, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,119.132,90.9671,81.7618,77.1927,74.4619,72.6458,71.3507,70.3806,69.6268,69.0293,68.5408,68.134,67.995,67.9942,67.9936,67.993,67.9925,67.992,67.9916,67.9913,67.9906,67.9898,67.989,67.9882,67.9875,67.9518,60.2027,54.0577,49.0514,44.5485,36.9197,28.3051,18.5004,7.41061,-0.0379885,-0.0393804,-1.30783,-13.2821,-23.7461,-32.8983,-40.9709,-46.9748,-51.5238,-57.0465,-63.8929,-68.0287,-68.0294,-68.0302,-68.0308,-68.0315,-68.0322,-68.034,-68.0366,-68.0395,-68.0428,-68.0465,-68.0507,-68.0556,
-0.660002, 145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,108.603,88.1504,80.4844,76.4697,73.9994,72.3261,71.1176,70.204,69.489,68.9142,68.4421,68.0509,67.9979,67.9971,67.9964,67.9958,67.9953,67.9949,67.9944,67.994,67.9934,67.9927,67.9921,67.9914,67.9908,66.0024,58.687,52.8318,48.0394,42.8806,35.0375,26.1649,16.0459,4.6273,-0.0295657,-0.0307478,-4.38576,-15.8348,-25.9758,-34.8633,-42.7162,-47.9601,-52.7153,-58.5154,-65.7474,-68.023,-68.0236,-68.0242,-68.0247,-68.0253,-68.0259,-68.0277,-68.0299,-68.0324,-68.0351,-68.0382,-68.0418,-68.0459,-68.076,-68.5655,
